,Unnamed: 0,text,intent,intentId,len,labels
0,2757,How can I change my Huawei account and password? My phone is disabled and my password is forgotten.,How can I submit a self-service complaint using my Huawei ID?,00154140377804217290286ed488ffbf,29,153
1,76,Can I pay online if I have not downloaded Huawei Pay?,Use the bank card in Huawei Pay for online payment (not applicable to NFC/Huawei Pay models).,00156826207409603131286ed4895296,21,308
2,4635,"I'm Nova 3e. No, there's no key service.",Number of keys and models that can be added,00154140377745116417286ed488ffbf,17,70
3,3920,Bank cards are not supported.,Failed to Add a Bank Card,00154140377750316549286ed488ffbf,7,93
4,5959,"Every time I turn on my phone, the Huawei Pay switches on and off, which is inconvenient.",The Huawei Pay card swiping page is automatically displayed.,00154140377723915950286ed488ffbf,24,49
5,6943,How do I add a bus card to the NFC of the P10?,Add a transportation card to the Huawei Pay.,00154140377723915915286ed488ffbf,14,21
6,3535,What can I do if the system displays a message indicating that the order cannot be found when the payment fails?,What can I do if the system displays a message indicating that the order cannot be found when the payment fails?,00154140377750416571286ed488ffbf,19,112
7,2749,"The account and password are forgotten, and the mobile phone number is lost.",How can I submit a self-service complaint using my Huawei ID?,00154140377804217290286ed488ffbf,14,153
8,6721,The NFC brushes the bus to buckle twice.,Repeated Fee Deduction for Huawei Pay Traffic Card Swiping,00154140377723915917286ed488ffbf,10,23
9,2170,Usage/Application Scope of Tianjin City Card,Application scenario of the transportation card: application scope of the transportation joint card in each city,00154639869480709881286ed488d1a3,12,181
10,4632,I don't have a key to the door on my phone.,Number of keys and models that can be added,00154140377745116417286ed488ffbf,9,70
11,5361,Charge by bus card,Method of Recharging a Transportation Card,00154140377742916363286ed488ffbf,5,59
12,4898,There's no key option in the bag.,Number of keys and models that can be added,00154140377745116417286ed488ffbf,9,70
13,7291,How to authenticate eID?,Using eID Offline Authentication,00154140377719915882286ed488ffbf,7,10
14,3526,What Do I Do If My Wallet Exits Unexpectedly or a Message Indicating Inconsistent Signatures Is Displayed After I Update My Wallet?,Why does my phone crash or display a message indicating that the signature is inconsistent after I update my wallet?,00154140377750416573286ed488ffbf,21,114
15,5561,Failed to swipe the bus card.,Failed to swipe the transportation card in the Huawei Pay when taking a subway or bus.,00154140377742916362286ed488ffbf,7,58
16,4881,No access card option,Number of keys and models that can be added,00154140377745116417286ed488ffbf,7,70
17,345,My card doesn't show.,What can I do if I cannot see the entrance for adding Huawei Pay traffic cards?,00156350271606100292286ed488ffbf,8,286
18,5213,Deleting an Access Card,Viewing/Deleting a Door Key,00154140377745116413286ed488ffbf,5,66
19,5962,What if it keeps popping up?,The Huawei Pay card swiping page is automatically displayed.,00154140377723915950286ed488ffbf,8,49
20,4227,What can I do if my bank card cannot be removed?,What can I do if my bank card cannot be removed?,00154140377750316540286ed488ffbf,12,84
